,,,,,,,,,,,MSS stalls [cycles],,,,,,PCU stalls [cycles],,MSS events,,,,,,,Unit Utilization
Func,Size,Calls,ExclTotal,ExclAv,ExclMin,ExclMax,InclTotal,InclAv,InclMin,InclMax,Memory Conflicts,External Code Read,External Data Read,External Data Write,Memory Barrier,Exclusive Write,Branch Penalty,Cross Fetch Line Penalty,Memory Conflicts,Code Cache Read Hit,Code Cache Read Miss,External Code Read,External Data Read,External Data Write,Read After Write,PCU utilization,LSU utilization,SPU utilization,VPU utilization,
"mss_get_clock",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"_mss_set_program_memory_region",389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_set_software_operation_program_cache_config",544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_set_program_memory_region",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_enable_global_program_cache",700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_load_internal_program",584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_get_program_cache_size",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_get_program_access_violation_address",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_get_data_access_violation_address",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_get_internal_program_memory_size",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_set_ddma_global_max_outstanding",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_set_power_save_mode",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"mss_set_data_memory_region",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"getProcessInputs",1310,1,3663,3663,3663,3663,514625,514625,514625,514625,0,2968,633,0,0,0,23,0,0,0,0,14,3,0,0,20%,31%,7%,0%
"fillBufferParameters",536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"loadInputBuffers",1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"initOutputBuffers",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"initOutputFiles",802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"outputResults",1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"releaseInputBuffersArray",470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"outputErrors",196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"Initialization",4194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"Execution",1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"Finalization",1860,1,11009,11009,11009,11009,346173,346173,346173,346173,0,9540,1055,0,0,0,129,0,0,0,0,45,5,0,1,15%,20%,3%,0%
"ApplicationProcess",1680,1,4826,4826,4826,4826,2375110,2375110,2375110,2375110,0,4664,0,0,0,0,42,0,0,0,0,22,0,0,2,11%,32%,5%,0%
"main",728,1,7464,7464,7464,7464,18702893,18702893,18702893,18702893,0,6148,1055,0,0,0,96,0,0,0,0,29,5,0,1,20%,19%,3%,0%
"CDNNDeviceAdd",578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"CDNNReference::getSecureId()",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
"CDNNManager::getTargetsNumber() const",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33%,0%,8%,0%
